location,timestamp,is_alert,alert_minutes,day_of_week,hour
Kyiv_City,2026-05-27 08:00:00+03:00,0,0.0,Wednesday,8
Kyiv_City,2026-05-27 09:00:00+03:00,0,0.0,Wednesday,9
Kyiv_City,2026-05-27 10:00:00+03:00,0,0.0,Wednesday,10
Kyiv_City,2026-05-27 11:00:00+03:00,0,0.0,Wednesday,11
Kyiv_City,2026-05-27 12:00:00+03:00,1,35.833333333333336,Wednesday,12
Kyiv_City,2026-05-27 13:00:00+03:00,1,15.733333333333333,Wednesday,13
Kyiv_City,2026-05-27 14:00:00+03:00,0,0.0,Wednesday,14
Kyiv_City,2026-05-27 15:00:00+03:00,0,0.0,Wednesday,15
Kyiv_City,2026-05-27 16:00:00+03:00,0,0.0,Wednesday,16
Kyiv_City,2026-05-27 17:00:00+03:00,0,0.0,Wednesday,17
Kyiv_City,2026-05-27 18:00:00+03:00,0,0.0,Wednesday,18
Kyiv_City,2026-05-27 19:00:00+03:00,0,0.0,Wednesday,19
Kyiv_City,2026-05-27 20:00:00+03:00,0,0.0,Wednesday,20
Kyiv_City,2026-05-27 21:00:00+03:00,1,4.183333333333334,Wednesday,21
Kyiv_City,2026-05-27 22:00:00+03:00,1,29.283333333333335,Wednesday,22
Kyiv_City,2026-05-27 23:00:00+03:00,0,0.0,Wednesday,23
Kyiv_City,2026-05-28 00:00:00+03:00,0,0.0,Thursday,0
Kyiv_City,2026-05-28 01:00:00+03:00,0,0.0,Thursday,1
Kyiv_City,2026-05-28 02:00:00+03:00,0,0.0,Thursday,2
Kyiv_City,2026-05-28 03:00:00+03:00,0,0.0,Thursday,3
Kyiv_City,2026-05-28 04:00:00+03:00,0,0.0,Thursday,4
Kyiv_City,2026-05-28 05:00:00+03:00,0,0.0,Thursday,5
Kyiv_City,2026-05-28 06:00:00+03:00,0,0.0,Thursday,6
Kyiv_City,2026-05-28 07:00:00+03:00,0,0.0,Thursday,7
Kyiv_City,2026-05-28 08:00:00+03:00,0,0.0,Thursday,8
Kyiv_City,2026-05-28 09:00:00+03:00,0,0.0,Thursday,9
Kyiv_City,2026-05-28 10:00:00+03:00,0,0.0,Thursday,10
Kyiv_City,2026-05-28 11:00:00+03:00,0,0.0,Thursday,11
Kyiv_City,2026-05-28 12:00:00+03:00,0,0.0,Thursday,12
Kyiv_City,2026-05-28 13:00:00+03:00,0,0.0,Thursday,13
Kyiv_City,2026-05-28 14:00:00+03:00,0,0.0,Thursday,14
Kyiv_City,2026-05-28 15:00:00+03:00,0,0.0,Thursday,15
Kyiv_City,2026-05-28 16:00:00+03:00,0,0.0,Thursday,16
Kyiv_City,2026-05-28 17:00:00+03:00,0,0.0,Thursday,17
Kyiv_City,2026-05-28 18:00:00+03:00,0,0.0,Thursday,18
Kyiv_City,2026-05-28 19:00:00+03:00,0,0.0,Thursday,19
Kyiv_City,2026-05-28 20:00:00+03:00,0,0.0,Thursday,20
Kyiv_City,2026-05-28 21:00:00+03:00,0,0.0,Thursday,21
Kyiv_City,2026-05-28 22:00:00+03:00,1,20.85,Thursday,22
Kyiv_City,2026-05-28 23:00:00+03:00,1,49.53333333333333,Thursday,23
Kyiv_City,2026-05-29 00:00:00+03:00,0,0.0,Friday,0
Kyiv_City,2026-05-29 01:00:00+03:00,0,0.0,Friday,1
Kyiv_City,2026-05-29 02:00:00+03:00,0,0.0,Friday,2
Kyiv_City,2026-05-29 03:00:00+03:00,1,38.71666666666667,Friday,3
Kyiv_City,2026-05-29 04:00:00+03:00,0,0.0,Friday,4
Kyiv_City,2026-05-29 05:00:00+03:00,0,0.0,Friday,5
Kyiv_City,2026-05-29 06:00:00+03:00,0,0.0,Friday,6
Kyiv_City,2026-05-29 07:00:00+03:00,0,0.0,Friday,7
Kyiv_City,2026-05-29 08:00:00+03:00,0,0.0,Friday,8
Kyiv_City,2026-05-29 09:00:00+03:00,0,0.0,Friday,9
Kyiv_City,2026-05-29 10:00:00+03:00,0,0.0,Friday,10
Kyiv_City,2026-05-29 11:00:00+03:00,0,0.0,Friday,11
Kyiv_City,2026-05-29 12:00:00+03:00,0,0.0,Friday,12
Kyiv_City,2026-05-29 13:00:00+03:00,0,0.0,Friday,13
Kyiv_City,2026-05-29 14:00:00+03:00,0,0.0,Friday,14
Kyiv_City,2026-05-29 15:00:00+03:00,1,38.916666666666664,Friday,15
Kyiv_City,2026-05-29 16:00:00+03:00,0,0.0,Friday,16
Kyiv_City,2026-05-29 17:00:00+03:00,0,0.0,Friday,17
Kyiv_City,2026-05-29 18:00:00+03:00,1,10.549299999999999,Friday,18
Kyiv_City,2026-05-29 19:00:00+03:00,1,51.1,Friday,19
Kyiv_City,2026-05-29 20:00:00+03:00,1,10.233333333333333,Friday,20
Kyiv_City,2026-05-29 21:00:00+03:00,0,0.0,Friday,21
Kyiv_City,2026-05-29 22:00:00+03:00,0,0.0,Friday,22
